fips,name,votes,absentee_votes,reporting,precincts,absentee_method,eevp,tot_exp_vote,eevp_value,eevp_display,eevp_source,turnout_stage,absentee_count_progress,results_axnec,results_youngd,results_holderb,results_absentee_axnec,results_absentee_youngd,results_absentee_holderb,last_updated,leader_margin_value,leader_margin_display,leader_margin_name_display,leader_party_id,leader_key,race_id_race,race_slug_race,url_race,state_page_url_race,ap_polls_page_race,edison_exit_polls_page_race,race_type_race,election_type_race,election_date_race,runoff_race,race_name_race,office_race,officeid_race,race_rating_race,seat_race,seat_name_race,state_id_race,state_slug_race,state_name_race,state_nyt_abbrev_race,state_shape_race,party_id_race,uncontested_race,report_race,result_race,result_source_race,gain_race,lost_seat_race,votes_race,absentee_votes_race,absentee_counties_race,absentee_count_progress_race,poll_display_race,poll_countdown_display_race,poll_waiting_display_race,poll_time_race,poll_time_short_race,precincts_reporting_race,precincts_total_race,reporting_display_race,reporting_value_race,eevp_race,tot_exp_vote_race,eevp_source_race,eevp_value_race,eevp_display_race,county_data_source_race,incumbent_party_race,no_forecast_race,last_updated_race,has_incumbent_race,leader_margin_value_race,leader_margin_votes_race,leader_margin_display_race,leader_margin_name_display_race,leader_party_id_race,edison_certified_race,expectations_text_race,expectations_text_short_race,absentee_ballot_deadline_race,absentee_postmark_deadline_race,winner_called_timestamp_race,is_runoff_results_race
19001,Adair,4055,2012,5,5,None,100,4055,100%,100% reported,edison,10,all,1263,2655,137,846,1100,66,2020-12-05T23:37:04Z,34.32799,R+34,Young +34,republican,youngd,IA-G-H-3-2020-11-03,ia-house-general-district-003-2020-11-03,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-iowa-house-district-3.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-iowa.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/ap-polls-iowa.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/exit-polls-iowa.html,house,general,2020-11-03,FALSE,U.S. House District 3,U.S. House,H,lean-dem,3,District 3,IA,iowa,Iowa,Iowa,horizontal,"",FALSE,TRUE,winner,AP,FALSE,"",447563,252329,16,unknown,Polls close at 10 p.m. Eastern time.,Polls close in,Polls have closed.,2020-11-04T03:00:00.000Z,10 p.m.,360,360,100% reporting,100%,100,447563,edison,100%,100% reported,edison,democrat,FALSE,2020-12-05T23:42:14Z,TRUE,1.38707,6208,D+1.4,Axne +1.4,democrat,TRUE,"","",6,-1,1604518081417,FALSE
19003,Adams,2129,1223,5,5,None,100,2129,100%,100% reported,edison,10,unknown,634,1416,79,458,723,42,2020-12-04T22:56:37Z,36.73086,R+37,Young +37,republican,youngd,IA-G-H-3-2020-11-03,ia-house-general-district-003-2020-11-03,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-iowa-house-district-3.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-iowa.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/ap-polls-iowa.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/exit-polls-iowa.html,house,general,2020-11-03,FALSE,U.S. House District 3,U.S. House,H,lean-dem,3,District 3,IA,iowa,Iowa,Iowa,horizontal,"",FALSE,TRUE,winner,AP,FALSE,"",447563,252329,16,unknown,Polls close at 10 p.m. Eastern time.,Polls close in,Polls have closed.,2020-11-04T03:00:00.000Z,10 p.m.,360,360,100% reporting,100%,100,447563,edison,100%,100% reported,edison,democrat,FALSE,2020-12-05T23:42:14Z,TRUE,1.38707,6208,D+1.4,Axne +1.4,democrat,TRUE,"","",6,-1,1604518081417,FALSE
19029,Cass,7023,4089,10,10,None,100,7023,100%,100% reported,edison,10,some,2210,4626,187,1624,2380,85,2020-12-05T00:05:15Z,34.40125,R+34,Young +34,republican,youngd,IA-G-H-3-2020-11-03,ia-house-general-district-003-2020-11-03,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-iowa-house-district-3.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-iowa.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/ap-polls-iowa.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/exit-polls-iowa.html,house,general,2020-11-03,FALSE,U.S. House District 3,U.S. House,H,lean-dem,3,District 3,IA,iowa,Iowa,Iowa,horizontal,"",FALSE,TRUE,winner,AP,FALSE,"",447563,252329,16,unknown,Polls close at 10 p.m. Eastern time.,Polls close in,Polls have closed.,2020-11-04T03:00:00.000Z,10 p.m.,360,360,100% reporting,100%,100,447563,edison,100%,100% reported,edison,democrat,FALSE,2020-12-05T23:42:14Z,TRUE,1.38707,6208,D+1.4,Axne +1.4,democrat,TRUE,"","",6,-1,1604518081417,FALSE
19049,Dallas,54870,33700,34,34,None,100,54870,100%,100% reported,edison,10,unknown,25367,27907,1596,18977,13969,754,2020-12-04T23:28:30Z,4.62912,R+5,Young +5,republican,youngd,IA-G-H-3-2020-11-03,ia-house-general-district-003-2020-11-03,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-iowa-house-district-3.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-iowa.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/ap-polls-iowa.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/exit-polls-iowa.html,house,general,2020-11-03,FALSE,U.S. House District 3,U.S. House,H,lean-dem,3,District 3,IA,iowa,Iowa,Iowa,horizontal,"",FALSE,TRUE,winner,AP,FALSE,"",447563,252329,16,unknown,Polls close at 10 p.m. Eastern time.,Polls close in,Polls have closed.,2020-11-04T03:00:00.000Z,10 p.m.,360,360,100% reporting,100%,100,447563,edison,100%,100% reported,edison,democrat,FALSE,2020-12-05T23:42:14Z,TRUE,1.38707,6208,D+1.4,Axne +1.4,democrat,TRUE,"","",6,-1,1604518081417,FALSE
19071,Fremont,3750,2009,6,6,None,100,3750,100%,100% reported,edison,10,unknown,1297,2340,113,860,1099,50,2020-12-04T23:32:57Z,27.81333,R+28,Young +28,republican,youngd,IA-G-H-3-2020-11-03,ia-house-general-district-003-2020-11-03,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-iowa-house-district-3.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-iowa.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/ap-polls-iowa.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/exit-polls-iowa.html,house,general,2020-11-03,FALSE,U.S. House District 3,U.S. House,H,lean-dem,3,District 3,IA,iowa,Iowa,Iowa,horizontal,"",FALSE,TRUE,winner,AP,FALSE,"",447563,252329,16,unknown,Polls close at 10 p.m. Eastern time.,Polls close in,Polls have closed.,2020-11-04T03:00:00.000Z,10 p.m.,360,360,100% reporting,100%,100,447563,edison,100%,100% reported,edison,democrat,FALSE,2020-12-05T23:42:14Z,TRUE,1.38707,6208,D+1.4,Axne +1.4,democrat,TRUE,"","",6,-1,1604518081417,FALSE
19077,Guthrie,6255,3270,9,9,None,100,6255,100%,100% reported,edison,10,unknown,2095,3890,270,1489,1663,118,2020-12-04T23:34:32Z,28.69704,R+29,Young +29,republican,youngd,IA-G-H-3-2020-11-03,ia-house-general-district-003-2020-11-03,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-iowa-house-district-3.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-iowa.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/ap-polls-iowa.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/exit-polls-iowa.html,house,general,2020-11-03,FALSE,U.S. House District 3,U.S. House,H,lean-dem,3,District 3,IA,iowa,Iowa,Iowa,horizontal,"",FALSE,TRUE,winner,AP,FALSE,"",447563,252329,16,unknown,Polls close at 10 p.m. Eastern time.,Polls close in,Polls have closed.,2020-11-04T03:00:00.000Z,10 p.m.,360,360,100% reporting,100%,100,447563,edison,100%,100% reported,edison,democrat,FALSE,2020-12-05T23:42:14Z,TRUE,1.38707,6208,D+1.4,Axne +1.4,democrat,TRUE,"","",6,-1,1604518081417,FALSE
19121,Madison,9613,5224,10,10,None,100,9613,100%,100% reported,edison,10,all,3264,5995,354,2386,2696,142,2020-12-04T23:40:23Z,28.40945,R+28,Young +28,republican,youngd,IA-G-H-3-2020-11-03,ia-house-general-district-003-2020-11-03,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-iowa-house-district-3.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-iowa.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/ap-polls-iowa.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/exit-polls-iowa.html,house,general,2020-11-03,FALSE,U.S. House District 3,U.S. House,H,lean-dem,3,District 3,IA,iowa,Iowa,Iowa,horizontal,"",FALSE,TRUE,winner,AP,FALSE,"",447563,252329,16,unknown,Polls close at 10 p.m. Eastern time.,Polls close in,Polls have closed.,2020-11-04T03:00:00.000Z,10 p.m.,360,360,100% reporting,100%,100,447563,edison,100%,100% reported,edison,democrat,FALSE,2020-12-05T23:42:14Z,TRUE,1.38707,6208,D+1.4,Axne +1.4,democrat,TRUE,"","",6,-1,1604518081417,FALSE
19129,Mills,8049,4970,12,12,None,100,8049,100%,100% reported,edison,10,unknown,2617,5163,269,1902,2912,156,2020-12-05T23:25:07Z,31.63126,R+32,Young +32,republican,youngd,IA-G-H-3-2020-11-03,ia-house-general-district-003-2020-11-03,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-iowa-house-district-3.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-iowa.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/ap-polls-iowa.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/exit-polls-iowa.html,house,general,2020-11-03,FALSE,U.S. House District 3,U.S. House,H,lean-dem,3,District 3,IA,iowa,Iowa,Iowa,horizontal,"",FALSE,TRUE,winner,AP,FALSE,"",447563,252329,16,unknown,Polls close at 10 p.m. Eastern time.,Polls close in,Polls have closed.,2020-11-04T03:00:00.000Z,10 p.m.,360,360,100% reporting,100%,100,447563,edison,100%,100% reported,edison,democrat,FALSE,2020-12-05T23:42:14Z,TRUE,1.38707,6208,D+1.4,Axne +1.4,democrat,TRUE,"","",6,-1,1604518081417,FALSE
19137,Montgomery,5202,2850,3,3,None,100,5202,100%,100% reported,edison,10,unknown,1636,3428,138,1162,1623,65,2020-12-04T23:35:48Z,34.44829,R+34,Young +34,republican,youngd,IA-G-H-3-2020-11-03,ia-house-general-district-003-2020-11-03,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-iowa-house-district-3.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-iowa.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/ap-polls-iowa.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/exit-polls-iowa.html,house,general,2020-11-03,FALSE,U.S. House District 3,U.S. House,H,lean-dem,3,District 3,IA,iowa,Iowa,Iowa,horizontal,"",FALSE,TRUE,winner,AP,FALSE,"",447563,252329,16,unknown,Polls close at 10 p.m. Eastern time.,Polls close in,Polls have closed.,2020-11-04T03:00:00.000Z,10 p.m.,360,360,100% reporting,100%,100,447563,edison,100%,100% reported,edison,democrat,FALSE,2020-12-05T23:42:14Z,TRUE,1.38707,6208,D+1.4,Axne +1.4,democrat,TRUE,"","",6,-1,1604518081417,FALSE
19145,Page,7370,4201,9,9,None,100,7370,100%,100% reported,edison,10,unknown,2288,4889,193,1643,2465,93,2020-12-05T23:04:03Z,35.29172,R+35,Young +35,republican,youngd,IA-G-H-3-2020-11-03,ia-house-general-district-003-2020-11-03,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-iowa-house-district-3.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-iowa.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/ap-polls-iowa.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/exit-polls-iowa.html,house,general,2020-11-03,FALSE,U.S. House District 3,U.S. House,H,lean-dem,3,District 3,IA,iowa,Iowa,Iowa,horizontal,"",FALSE,TRUE,winner,AP,FALSE,"",447563,252329,16,unknown,Polls close at 10 p.m. Eastern time.,Polls close in,Polls have closed.,2020-11-04T03:00:00.000Z,10 p.m.,360,360,100% reporting,100%,100,447563,edison,100%,100% reported,edison,democrat,FALSE,2020-12-05T23:42:14Z,TRUE,1.38707,6208,D+1.4,Axne +1.4,democrat,TRUE,"","",6,-1,1604518081417,FALSE
