fips,name,votes,absentee_votes,reporting,precincts,absentee_method,eevp,tot_exp_vote,eevp_value,eevp_display,eevp_source,turnout_stage,absentee_count_progress,absentee_max_ballots,results_davisr,results_londriganb,results_absentee_davisr,results_absentee_londriganb,last_updated,leader_margin_value,leader_margin_display,leader_margin_name_display,leader_party_id,leader_key,race_id_race,race_slug_race,url_race,state_page_url_race,ap_polls_page_race,race_type_race,election_type_race,election_date_race,runoff_race,race_name_race,office_race,officeid_race,race_rating_race,seat_race,seat_name_race,state_id_race,state_slug_race,state_name_race,state_nyt_abbrev_race,state_shape_race,state_aspect_ratio_race,party_id_race,uncontested_race,report_race,result_race,result_source_race,gain_race,lost_seat_race,votes_race,absentee_votes_race,absentee_counties_race,absentee_count_progress_race,poll_display_race,poll_countdown_display_race,poll_waiting_display_race,poll_time_race,poll_time_short_race,precincts_reporting_race,precincts_total_race,reporting_display_race,reporting_value_race,eevp_race,tot_exp_vote_race,eevp_source_race,eevp_value_race,eevp_display_race,county_data_source_race,incumbent_party_race,no_forecast_race,last_updated_race,has_incumbent_race,leader_margin_value_race,leader_margin_votes_race,leader_margin_display_race,leader_margin_name_display_race,leader_party_id_race,edison_certified_race,expectations_text_race,expectations_text_short_race,absentee_ballot_deadline_race,absentee_postmark_deadline_race,winner_called_timestamp_race
17005,Bond,2277,0,7,7,Released as a precinct at the end of tabulation,100,1692,>98%,>98% reported,edison,6,unknown,2398,1636,641,0,0,2020-12-04T17:41:14Z,43.69785,R+44,Davis +44,republican,davisr,IL-G-H-13-2020-11-03,il-house-general-district-013-2020-11-03,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-illinois-house-district-13.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-illinois.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/ap-polls-illinois.html,house,general,2020-11-03,FALSE,U.S. House District 13,U.S. House,H,tossup,13,District 13,IL,illinois,Illinois,Ill.,vertical,0.9,"",FALSE,TRUE,winner,AP,FALSE,"",332073,51412,1,unknown,Polls close at 8 p.m. Eastern time.,Polls close in,Polls have closed.,2020-11-04T01:00:00.000Z,8 p.m.,564,597,94% reporting,94%,92,362000,edison,92%,92% reported,edison,republican,FALSE,2020-12-08T16:25:06Z,TRUE,8.91461,29603,R+9,Davis +9,republican,FALSE,"","",14,0,1604464096923
17013,Calhoun,2691,0,7,7,Other,93,2891,93%,93% reported,edison,4,all,710,2032,659,0,0,2020-12-08T16:24:37Z,51.02192,R+51,Davis +51,republican,davisr,IL-G-H-13-2020-11-03,il-house-general-district-013-2020-11-03,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-illinois-house-district-13.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-illinois.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/ap-polls-illinois.html,house,general,2020-11-03,FALSE,U.S. House District 13,U.S. House,H,tossup,13,District 13,IL,illinois,Illinois,Ill.,vertical,0.9,"",FALSE,TRUE,winner,AP,FALSE,"",332073,51412,1,unknown,Polls close at 8 p.m. Eastern time.,Polls close in,Polls have closed.,2020-11-04T01:00:00.000Z,8 p.m.,564,597,94% reporting,94%,92,362000,edison,92%,92% reported,edison,republican,FALSE,2020-12-08T16:25:06Z,TRUE,8.91461,29603,R+9,Davis +9,republican,FALSE,"","",14,0,1604464096923
17019,Champaign,68586,51412,79,88,None,91,75550,91%,91% reported,edison,4,unknown,23782,22394,46192,14128,37284,2020-12-08T16:25:06Z,,–,–,"","",IL-G-H-13-2020-11-03,il-house-general-district-013-2020-11-03,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-illinois-house-district-13.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-illinois.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/ap-polls-illinois.html,house,general,2020-11-03,FALSE,U.S. House District 13,U.S. House,H,tossup,13,District 13,IL,illinois,Illinois,Ill.,vertical,0.9,"",FALSE,TRUE,winner,AP,FALSE,"",332073,51412,1,unknown,Polls close at 8 p.m. Eastern time.,Polls close in,Polls have closed.,2020-11-04T01:00:00.000Z,8 p.m.,564,597,94% reporting,94%,92,362000,edison,92%,92% reported,edison,republican,FALSE,2020-12-08T16:25:06Z,TRUE,8.91461,29603,R+9,Davis +9,republican,FALSE,"","",14,0,1604464096923
17021,Christian,16027,0,28,30,Merged into voters' home precincts and released with cumulative results,92,17341,92%,92% reported,edison,2,unknown,3022,12163,3864,0,0,2020-12-04T18:16:21Z,51.78137,R+52,Davis +52,republican,davisr,IL-G-H-13-2020-11-03,il-house-general-district-013-2020-11-03,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-illinois-house-district-13.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-illinois.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/ap-polls-illinois.html,house,general,2020-11-03,FALSE,U.S. House District 13,U.S. House,H,tossup,13,District 13,IL,illinois,Illinois,Ill.,vertical,0.9,"",FALSE,TRUE,winner,AP,FALSE,"",332073,51412,1,unknown,Polls close at 8 p.m. Eastern time.,Polls close in,Polls have closed.,2020-11-04T01:00:00.000Z,8 p.m.,564,597,94% reporting,94%,92,362000,edison,92%,92% reported,edison,republican,FALSE,2020-12-08T16:25:06Z,TRUE,8.91461,29603,R+9,Davis +9,republican,FALSE,"","",14,0,1604464096923
17039,DeWitt,7876,0,21,23,Merged into voters' home precincts AFTER election night,93,8451,93%,93% reported,edison,4,unknown,1771,5807,2069,0,0,2020-12-04T18:28:45Z,47.46064,R+47,Davis +47,republican,davisr,IL-G-H-13-2020-11-03,il-house-general-district-013-2020-11-03,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-illinois-house-district-13.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-illinois.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/ap-polls-illinois.html,house,general,2020-11-03,FALSE,U.S. House District 13,U.S. House,H,tossup,13,District 13,IL,illinois,Illinois,Ill.,vertical,0.9,"",FALSE,TRUE,winner,AP,FALSE,"",332073,51412,1,unknown,Polls close at 8 p.m. Eastern time.,Polls close in,Polls have closed.,2020-11-04T01:00:00.000Z,8 p.m.,564,597,94% reporting,94%,92,362000,edison,92%,92% reported,edison,republican,FALSE,2020-12-08T16:25:06Z,TRUE,8.91461,29603,R+9,Davis +9,republican,FALSE,"","",14,0,1604464096923
17061,Greene,5898,0,21,22,Merged into voters' home precincts and released with cumulative results,94,6275,94%,94% reported,edison,4,some,1365,4640,1258,0,0,2020-12-04T18:49:49Z,57.34147,R+57,Davis +57,republican,davisr,IL-G-H-13-2020-11-03,il-house-general-district-013-2020-11-03,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-illinois-house-district-13.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-illinois.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/ap-polls-illinois.html,house,general,2020-11-03,FALSE,U.S. House District 13,U.S. House,H,tossup,13,District 13,IL,illinois,Illinois,Ill.,vertical,0.9,"",FALSE,TRUE,winner,AP,FALSE,"",332073,51412,1,unknown,Polls close at 8 p.m. Eastern time.,Polls close in,Polls have closed.,2020-11-04T01:00:00.000Z,8 p.m.,564,597,94% reporting,94%,92,362000,edison,92%,92% reported,edison,republican,FALSE,2020-12-08T16:25:06Z,TRUE,8.91461,29603,R+9,Davis +9,republican,FALSE,"","",14,0,1604464096923
17083,Jersey,11669,0,24,25,Merged into voters' home precincts and released with cumulative results,94,12352,94%,94% reported,edison,4,some,2467,8750,2919,0,0,2020-12-04T19:03:39Z,49.97001,R+50,Davis +50,republican,davisr,IL-G-H-13-2020-11-03,il-house-general-district-013-2020-11-03,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-illinois-house-district-13.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-illinois.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/ap-polls-illinois.html,house,general,2020-11-03,FALSE,U.S. House District 13,U.S. House,H,tossup,13,District 13,IL,illinois,Illinois,Ill.,vertical,0.9,"",FALSE,TRUE,winner,AP,FALSE,"",332073,51412,1,unknown,Polls close at 8 p.m. Eastern time.,Polls close in,Polls have closed.,2020-11-04T01:00:00.000Z,8 p.m.,564,597,94% reporting,94%,92,362000,edison,92%,92% reported,edison,republican,FALSE,2020-12-08T16:25:06Z,TRUE,8.91461,29603,R+9,Davis +9,republican,FALSE,"","",14,0,1604464096923
17115,Macon,48455,0,65,72,Merged into voters' home precincts AFTER election night,100,48455,>98%,>98% reported,edison,6,all,14264,29649,18806,0,0,2020-12-04T19:11:57Z,22.37746,R+22,Davis +22,republican,davisr,IL-G-H-13-2020-11-03,il-house-general-district-013-2020-11-03,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-illinois-house-district-13.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-illinois.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/ap-polls-illinois.html,house,general,2020-11-03,FALSE,U.S. House District 13,U.S. House,H,tossup,13,District 13,IL,illinois,Illinois,Ill.,vertical,0.9,"",FALSE,TRUE,winner,AP,FALSE,"",332073,51412,1,unknown,Polls close at 8 p.m. Eastern time.,Polls close in,Polls have closed.,2020-11-04T01:00:00.000Z,8 p.m.,564,597,94% reporting,94%,92,362000,edison,92%,92% reported,edison,republican,FALSE,2020-12-08T16:25:06Z,TRUE,8.91461,29603,R+9,Davis +9,republican,FALSE,"","",14,0,1604464096923
17117,Macoupin,23485,0,57,61,Merged into voters' home precincts and released with cumulative results,94,25077,94%,94% reported,edison,4,all,3614,16266,7219,0,0,2020-12-04T19:12:44Z,38.52246,R+39,Davis +39,republican,davisr,IL-G-H-13-2020-11-03,il-house-general-district-013-2020-11-03,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-illinois-house-district-13.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-illinois.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/ap-polls-illinois.html,house,general,2020-11-03,FALSE,U.S. House District 13,U.S. House,H,tossup,13,District 13,IL,illinois,Illinois,Ill.,vertical,0.9,"",FALSE,TRUE,winner,AP,FALSE,"",332073,51412,1,unknown,Polls close at 8 p.m. Eastern time.,Polls close in,Polls have closed.,2020-11-04T01:00:00.000Z,8 p.m.,564,597,94% reporting,94%,92,362000,edison,92%,92% reported,edison,republican,FALSE,2020-12-08T16:25:06Z,TRUE,8.91461,29603,R+9,Davis +9,republican,FALSE,"","",14,0,1604464096923
17119,Madison,55288,0,91,91,None,94,58770,94%,94% reported,edison,2,some,57323,31488,23800,0,0,2020-12-02T15:50:23Z,13.90537,R+14,Davis +14,republican,davisr,IL-G-H-13-2020-11-03,il-house-general-district-013-2020-11-03,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-illinois-house-district-13.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-illinois.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/ap-polls-illinois.html,house,general,2020-11-03,FALSE,U.S. House District 13,U.S. House,H,tossup,13,District 13,IL,illinois,Illinois,Ill.,vertical,0.9,"",FALSE,TRUE,winner,AP,FALSE,"",332073,51412,1,unknown,Polls close at 8 p.m. Eastern time.,Polls close in,Polls have closed.,2020-11-04T01:00:00.000Z,8 p.m.,564,597,94% reporting,94%,92,362000,edison,92%,92% reported,edison,republican,FALSE,2020-12-08T16:25:06Z,TRUE,8.91461,29603,R+9,Davis +9,republican,FALSE,"","",14,0,1604464096923
