fips,name,votes,absentee_votes,reporting,precincts,absentee_method,eevp,tot_exp_vote,eevp_value,eevp_display,eevp_source,turnout_stage,absentee_count_progress,absentee_max_ballots,results_gravess,results_rossg,results_higginsj,results_absentee_gravess,results_absentee_rossg,results_absentee_higginsj,last_updated,leader_margin_value,leader_margin_display,leader_margin_name_display,leader_party_id,leader_key,race_id_race,race_slug_race,url_race,state_page_url_race,ap_polls_page_race,race_type_race,election_type_race,election_date_race,runoff_race,race_name_race,office_race,officeid_race,race_rating_race,seat_race,seat_name_race,state_id_race,state_slug_race,state_name_race,state_nyt_abbrev_race,state_shape_race,party_id_race,uncontested_race,report_race,result_race,result_source_race,gain_race,lost_seat_race,votes_race,absentee_votes_race,absentee_counties_race,absentee_count_progress_race,poll_display_race,poll_countdown_display_race,poll_waiting_display_race,poll_time_race,poll_time_short_race,precincts_reporting_race,precincts_total_race,reporting_display_race,reporting_value_race,eevp_race,tot_exp_vote_race,eevp_source_race,eevp_value_race,eevp_display_race,county_data_source_race,incumbent_party_race,no_forecast_race,last_updated_race,has_incumbent_race,leader_margin_value_race,leader_margin_votes_race,leader_margin_display_race,leader_margin_name_display_race,leader_party_id_race,edison_certified_race,expectations_text_race,expectations_text_short_race,absentee_ballot_deadline_race,absentee_postmark_deadline_race,winner_called_timestamp_race,is_runoff_results_race
29001,Adair,10228,0,12,12,"As a precinct in the FIRST cumulative report, along with regular precincts",100,10228,100%,100% reported,edison,10,all,2792,6814,3219,195,0,0,0,2020-12-10T12:28:03Z,35.14861,R+35,Graves +35,republican,gravess,MO-G-H-6-2020-11-03,mo-house-general-district-006-2020-11-03,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-missouri-house-district-6.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-missouri.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/ap-polls-missouri.html,house,general,2020-11-03,FALSE,U.S. House District 6,U.S. House,H,solid-rep,6,District 6,MO,missouri,Missouri,Mo.,horizontal,"",FALSE,TRUE,winner,AP,FALSE,"",385779,1606,3,unknown,Polls close at 8 p.m. Eastern time.,Polls close in,Polls have closed.,2020-11-04T01:00:00.000Z,8 p.m.,450,450,100% reporting,100%,100,385779,edison,100%,100% reported,edison,republican,FALSE,2020-12-10T12:51:44Z,TRUE,36.23396,139783,R+36,Graves +36,republican,TRUE,"","",0,0,1609886186416,FALSE
29003,Andrew,9639,0,20,20,Released as a precinct in the middle of the night,100,9639,100%,100% reported,edison,10,all,1074,7420,2002,217,0,0,0,2020-12-10T12:34:59Z,56.20915,R+56,Graves +56,republican,gravess,MO-G-H-6-2020-11-03,mo-house-general-district-006-2020-11-03,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-missouri-house-district-6.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-missouri.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/ap-polls-missouri.html,house,general,2020-11-03,FALSE,U.S. House District 6,U.S. House,H,solid-rep,6,District 6,MO,missouri,Missouri,Mo.,horizontal,"",FALSE,TRUE,winner,AP,FALSE,"",385779,1606,3,unknown,Polls close at 8 p.m. Eastern time.,Polls close in,Polls have closed.,2020-11-04T01:00:00.000Z,8 p.m.,450,450,100% reporting,100%,100,385779,edison,100%,100% reported,edison,republican,FALSE,2020-12-10T12:51:44Z,TRUE,36.23396,139783,R+36,Graves +36,republican,TRUE,"","",0,0,1609886186416,FALSE
29005,Atchison,2773,0,6,6,None,100,2773,100%,100% reported,edison,10,unknown,334,2257,444,72,0,0,0,2020-11-24T13:23:18Z,65.38045,R+65,Graves +65,republican,gravess,MO-G-H-6-2020-11-03,mo-house-general-district-006-2020-11-03,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-missouri-house-district-6.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-missouri.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/ap-polls-missouri.html,house,general,2020-11-03,FALSE,U.S. House District 6,U.S. House,H,solid-rep,6,District 6,MO,missouri,Missouri,Mo.,horizontal,"",FALSE,TRUE,winner,AP,FALSE,"",385779,1606,3,unknown,Polls close at 8 p.m. Eastern time.,Polls close in,Polls have closed.,2020-11-04T01:00:00.000Z,8 p.m.,450,450,100% reporting,100%,100,385779,edison,100%,100% reported,edison,republican,FALSE,2020-12-10T12:51:44Z,TRUE,36.23396,139783,R+36,Graves +36,republican,TRUE,"","",0,0,1609886186416,FALSE
29007,Audrain,2108,0,3,3,Released as a precinct as first report of the night,100,2108,100%,100% reported,edison,10,all,1222,1628,428,52,0,0,0,2020-12-10T12:35:22Z,56.926,R+57,Graves +57,republican,gravess,MO-G-H-6-2020-11-03,mo-house-general-district-006-2020-11-03,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-missouri-house-district-6.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-missouri.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/ap-polls-missouri.html,house,general,2020-11-03,FALSE,U.S. House District 6,U.S. House,H,solid-rep,6,District 6,MO,missouri,Missouri,Mo.,horizontal,"",FALSE,TRUE,winner,AP,FALSE,"",385779,1606,3,unknown,Polls close at 8 p.m. Eastern time.,Polls close in,Polls have closed.,2020-11-04T01:00:00.000Z,8 p.m.,450,450,100% reporting,100%,100,385779,edison,100%,100% reported,edison,republican,FALSE,2020-12-10T12:51:44Z,TRUE,36.23396,139783,R+36,Graves +36,republican,TRUE,"","",0,0,1609886186416,FALSE
29021,Buchanan,36190,0,24,24,Released as a precinct as first report of the night,100,36190,100%,100% reported,edison,10,some,4203,23523,11659,1008,0,0,0,2020-12-10T12:28:37Z,32.78254,R+33,Graves +33,republican,gravess,MO-G-H-6-2020-11-03,mo-house-general-district-006-2020-11-03,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-missouri-house-district-6.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-missouri.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/ap-polls-missouri.html,house,general,2020-11-03,FALSE,U.S. House District 6,U.S. House,H,solid-rep,6,District 6,MO,missouri,Missouri,Mo.,horizontal,"",FALSE,TRUE,winner,AP,FALSE,"",385779,1606,3,unknown,Polls close at 8 p.m. Eastern time.,Polls close in,Polls have closed.,2020-11-04T01:00:00.000Z,8 p.m.,450,450,100% reporting,100%,100,385779,edison,100%,100% reported,edison,republican,FALSE,2020-12-10T12:51:44Z,TRUE,36.23396,139783,R+36,Graves +36,republican,TRUE,"","",0,0,1609886186416,FALSE
29025,Caldwell,4603,0,11,11,None,100,4603,100%,100% reported,edison,10,unknown,552,3693,768,142,0,0,0,2020-12-09T16:38:25Z,63.54551,R+64,Graves +64,republican,gravess,MO-G-H-6-2020-11-03,mo-house-general-district-006-2020-11-03,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-missouri-house-district-6.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-missouri.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/ap-polls-missouri.html,house,general,2020-11-03,FALSE,U.S. House District 6,U.S. House,H,solid-rep,6,District 6,MO,missouri,Missouri,Mo.,horizontal,"",FALSE,TRUE,winner,AP,FALSE,"",385779,1606,3,unknown,Polls close at 8 p.m. Eastern time.,Polls close in,Polls have closed.,2020-11-04T01:00:00.000Z,8 p.m.,450,450,100% reporting,100%,100,385779,edison,100%,100% reported,edison,republican,FALSE,2020-12-10T12:51:44Z,TRUE,36.23396,139783,R+36,Graves +36,republican,TRUE,"","",0,0,1609886186416,FALSE
29033,Carroll,4466,0,13,13,Released as a precinct as first report of the night,100,4466,100%,100% reported,edison,10,unknown,694,3772,639,55,0,0,0,2020-12-10T12:28:53Z,70.15226,R+70,Graves +70,republican,gravess,MO-G-H-6-2020-11-03,mo-house-general-district-006-2020-11-03,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-missouri-house-district-6.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-missouri.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/ap-polls-missouri.html,house,general,2020-11-03,FALSE,U.S. House District 6,U.S. House,H,solid-rep,6,District 6,MO,missouri,Missouri,Mo.,horizontal,"",FALSE,TRUE,winner,AP,FALSE,"",385779,1606,3,unknown,Polls close at 8 p.m. Eastern time.,Polls close in,Polls have closed.,2020-11-04T01:00:00.000Z,8 p.m.,450,450,100% reporting,100%,100,385779,edison,100%,100% reported,edison,republican,FALSE,2020-12-10T12:51:44Z,TRUE,36.23396,139783,R+36,Graves +36,republican,TRUE,"","",0,0,1609886186416,FALSE
29041,Chariton,4017,528,13,13,Released as a precinct as first report of the night,100,4017,100%,100% reported,edison,10,unknown,437,3175,782,60,343,177,8,2020-12-10T12:29:05Z,59.57182,R+60,Graves +60,republican,gravess,MO-G-H-6-2020-11-03,mo-house-general-district-006-2020-11-03,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-missouri-house-district-6.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-missouri.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/ap-polls-missouri.html,house,general,2020-11-03,FALSE,U.S. House District 6,U.S. House,H,solid-rep,6,District 6,MO,missouri,Missouri,Mo.,horizontal,"",FALSE,TRUE,winner,AP,FALSE,"",385779,1606,3,unknown,Polls close at 8 p.m. Eastern time.,Polls close in,Polls have closed.,2020-11-04T01:00:00.000Z,8 p.m.,450,450,100% reporting,100%,100,385779,edison,100%,100% reported,edison,republican,FALSE,2020-12-10T12:51:44Z,TRUE,36.23396,139783,R+36,Graves +36,republican,TRUE,"","",0,0,1609886186416,FALSE
29045,Clark,3319,0,6,6,None,100,3319,100%,100% reported,edison,10,unknown,523,2660,587,72,0,0,0,2020-12-10T12:51:02Z,62.45857,R+62,Graves +62,republican,gravess,MO-G-H-6-2020-11-03,mo-house-general-district-006-2020-11-03,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-missouri-house-district-6.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-missouri.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/ap-polls-missouri.html,house,general,2020-11-03,FALSE,U.S. House District 6,U.S. House,H,solid-rep,6,District 6,MO,missouri,Missouri,Mo.,horizontal,"",FALSE,TRUE,winner,AP,FALSE,"",385779,1606,3,unknown,Polls close at 8 p.m. Eastern time.,Polls close in,Polls have closed.,2020-11-04T01:00:00.000Z,8 p.m.,450,450,100% reporting,100%,100,385779,edison,100%,100% reported,edison,republican,FALSE,2020-12-10T12:51:44Z,TRUE,36.23396,139783,R+36,Graves +36,republican,TRUE,"","",0,0,1609886186416,FALSE
29047,Clay,89037,0,55,55,Released as a separate subtotal as first report of the night,100,89037,100%,100% reported,edison,10,all,16870,52532,34575,1930,0,0,0,2020-12-10T12:36:50Z,20.16802,R+20,Graves +20,republican,gravess,MO-G-H-6-2020-11-03,mo-house-general-district-006-2020-11-03,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-missouri-house-district-6.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-missouri.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/ap-polls-missouri.html,house,general,2020-11-03,FALSE,U.S. House District 6,U.S. House,H,solid-rep,6,District 6,MO,missouri,Missouri,Mo.,horizontal,"",FALSE,TRUE,winner,AP,FALSE,"",385779,1606,3,unknown,Polls close at 8 p.m. Eastern time.,Polls close in,Polls have closed.,2020-11-04T01:00:00.000Z,8 p.m.,450,450,100% reporting,100%,100,385779,edison,100%,100% reported,edison,republican,FALSE,2020-12-10T12:51:44Z,TRUE,36.23396,139783,R+36,Graves +36,republican,TRUE,"","",0,0,1609886186416,FALSE
