fips,name,votes,absentee_votes,reporting,precincts,absentee_method,eevp,tot_exp_vote,eevp_value,eevp_display,eevp_source,turnout_stage,absentee_count_progress,absentee_max_ballots,results_mckinleyd,results_clinen,results_write_ins,results_absentee_mckinleyd,results_absentee_clinen,results_absentee_write_ins,last_updated,leader_margin_value,leader_margin_display,leader_margin_name_display,leader_party_id,leader_key,race_id_race,race_slug_race,url_race,state_page_url_race,ap_polls_page_race,race_type_race,election_type_race,election_date_race,runoff_race,race_name_race,office_race,officeid_race,race_rating_race,seat_race,seat_name_race,state_id_race,state_slug_race,state_name_race,state_nyt_abbrev_race,state_shape_race,party_id_race,uncontested_race,report_race,result_race,result_source_race,gain_race,lost_seat_race,votes_race,absentee_votes_race,absentee_counties_race,absentee_count_progress_race,poll_display_race,poll_countdown_display_race,poll_waiting_display_race,poll_time_race,poll_time_short_race,precincts_reporting_race,precincts_total_race,reporting_display_race,reporting_value_race,eevp_race,tot_exp_vote_race,eevp_source_race,eevp_value_race,eevp_display_race,county_data_source_race,incumbent_party_race,no_forecast_race,last_updated_race,has_incumbent_race,leader_margin_value_race,leader_margin_votes_race,leader_margin_display_race,leader_margin_name_display_race,leader_party_id_race,edison_certified_race,expectations_text_race,expectations_text_short_race,absentee_ballot_deadline_race,absentee_postmark_deadline_race,winner_called_timestamp_race,is_runoff_results_race
54001,Barbour,6489,0,13,13,Merged into voters' home precincts and released with cumulative results,100,6486,100%,100% reported,edison,10,unknown,2032,4917,1569,3,0,0,0,2021-01-28T14:45:45Z,51.59501,R+52,McKinley +52,republican,mckinleyd,WV-G-H-1-2020-11-03,wv-house-general-district-001-2020-11-03,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-west-virginia-house-district-1.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-west-virginia.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/ap-polls-west-virginia.html,house,general,2020-11-03,FALSE,U.S. House District 1,U.S. House,H,solid-rep,1,District 1,WV,west-virginia,West Virginia,W.Va.,horizontal,"",FALSE,TRUE,winner,AP,FALSE,"",261723,69430,3,unknown,Polls close at 7:30 p.m. Eastern time.,Polls close in,Polls have closed.,2020-11-04T00:30:00.000Z,7:30 p.m.,559,559,100% reporting,100%,100,261665,edison,100%,100% reported,edison,republican,FALSE,2021-01-28T14:46:50Z,TRUE,37.94508,99311,R+38,McKinley +38,republican,TRUE,"","",6,0,1604455258241,FALSE
54009,Brooke,10262,0,22,22,Merged into voters' home precincts and released with cumulative results,100,10260,100%,100% reported,edison,10,unknown,3091,7132,3128,2,0,0,0,2021-01-28T14:45:51Z,39.01774,R+39,McKinley +39,republican,mckinleyd,WV-G-H-1-2020-11-03,wv-house-general-district-001-2020-11-03,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-west-virginia-house-district-1.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-west-virginia.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/ap-polls-west-virginia.html,house,general,2020-11-03,FALSE,U.S. House District 1,U.S. House,H,solid-rep,1,District 1,WV,west-virginia,West Virginia,W.Va.,horizontal,"",FALSE,TRUE,winner,AP,FALSE,"",261723,69430,3,unknown,Polls close at 7:30 p.m. Eastern time.,Polls close in,Polls have closed.,2020-11-04T00:30:00.000Z,7:30 p.m.,559,559,100% reporting,100%,100,261665,edison,100%,100% reported,edison,republican,FALSE,2021-01-28T14:46:50Z,TRUE,37.94508,99311,R+38,McKinley +38,republican,TRUE,"","",6,0,1604455258241,FALSE
54017,Doddridge,2975,0,12,12,Merged into voters' home precincts and released with cumulative results,100,2975,100%,100% reported,edison,10,unknown,1440,2492,483,,0,0,,2021-01-28T14:20:35Z,67.52941,R+68,McKinley +68,republican,mckinleyd,WV-G-H-1-2020-11-03,wv-house-general-district-001-2020-11-03,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-west-virginia-house-district-1.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-west-virginia.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/ap-polls-west-virginia.html,house,general,2020-11-03,FALSE,U.S. House District 1,U.S. House,H,solid-rep,1,District 1,WV,west-virginia,West Virginia,W.Va.,horizontal,"",FALSE,TRUE,winner,AP,FALSE,"",261723,69430,3,unknown,Polls close at 7:30 p.m. Eastern time.,Polls close in,Polls have closed.,2020-11-04T00:30:00.000Z,7:30 p.m.,559,559,100% reporting,100%,100,261665,edison,100%,100% reported,edison,republican,FALSE,2021-01-28T14:46:50Z,TRUE,37.94508,99311,R+38,McKinley +38,republican,TRUE,"","",6,0,1604455258241,FALSE
54021,Gilmer,2521,0,10,10,Other,100,2521,100%,100% reported,edison,10,unknown,1074,1844,677,0,0,0,0,2021-01-28T14:20:55Z,46.29115,R+46,McKinley +46,republican,mckinleyd,WV-G-H-1-2020-11-03,wv-house-general-district-001-2020-11-03,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-west-virginia-house-district-1.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-west-virginia.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/ap-polls-west-virginia.html,house,general,2020-11-03,FALSE,U.S. House District 1,U.S. House,H,solid-rep,1,District 1,WV,west-virginia,West Virginia,W.Va.,horizontal,"",FALSE,TRUE,winner,AP,FALSE,"",261723,69430,3,unknown,Polls close at 7:30 p.m. Eastern time.,Polls close in,Polls have closed.,2020-11-04T00:30:00.000Z,7:30 p.m.,559,559,100% reporting,100%,100,261665,edison,100%,100% reported,edison,republican,FALSE,2021-01-28T14:46:50Z,TRUE,37.94508,99311,R+38,McKinley +38,republican,TRUE,"","",6,0,1604455258241,FALSE
54023,Grant,5065,0,15,15,Merged into voters' home precincts and released with cumulative results,100,5065,100%,100% reported,edison,10,unknown,2250,4403,662,,0,0,,2021-01-28T14:21:03Z,73.85982,R+74,McKinley +74,republican,mckinleyd,WV-G-H-1-2020-11-03,wv-house-general-district-001-2020-11-03,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-west-virginia-house-district-1.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-west-virginia.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/ap-polls-west-virginia.html,house,general,2020-11-03,FALSE,U.S. House District 1,U.S. House,H,solid-rep,1,District 1,WV,west-virginia,West Virginia,W.Va.,horizontal,"",FALSE,TRUE,winner,AP,FALSE,"",261723,69430,3,unknown,Polls close at 7:30 p.m. Eastern time.,Polls close in,Polls have closed.,2020-11-04T00:30:00.000Z,7:30 p.m.,559,559,100% reporting,100%,100,261665,edison,100%,100% reported,edison,republican,FALSE,2021-01-28T14:46:50Z,TRUE,37.94508,99311,R+38,McKinley +38,republican,TRUE,"","",6,0,1604455258241,FALSE
54029,Hancock,13322,0,24,24,Merged into voters' home precincts and released with cumulative results,100,13322,100%,100% reported,edison,10,all,3621,9358,3964,,0,0,,2021-01-28T14:21:36Z,40.48942,R+40,McKinley +40,republican,mckinleyd,WV-G-H-1-2020-11-03,wv-house-general-district-001-2020-11-03,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-west-virginia-house-district-1.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-west-virginia.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/ap-polls-west-virginia.html,house,general,2020-11-03,FALSE,U.S. House District 1,U.S. House,H,solid-rep,1,District 1,WV,west-virginia,West Virginia,W.Va.,horizontal,"",FALSE,TRUE,winner,AP,FALSE,"",261723,69430,3,unknown,Polls close at 7:30 p.m. Eastern time.,Polls close in,Polls have closed.,2020-11-04T00:30:00.000Z,7:30 p.m.,559,559,100% reporting,100%,100,261665,edison,100%,100% reported,edison,republican,FALSE,2021-01-28T14:46:50Z,TRUE,37.94508,99311,R+38,McKinley +38,republican,TRUE,"","",6,0,1604455258241,FALSE
54033,Harrison,29462,0,67,67,Other,100,29462,100%,100% reported,edison,10,all,6885,20540,8922,,0,0,,2021-01-28T14:22:01Z,39.43385,R+39,McKinley +39,republican,mckinleyd,WV-G-H-1-2020-11-03,wv-house-general-district-001-2020-11-03,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-west-virginia-house-district-1.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-west-virginia.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/ap-polls-west-virginia.html,house,general,2020-11-03,FALSE,U.S. House District 1,U.S. House,H,solid-rep,1,District 1,WV,west-virginia,West Virginia,W.Va.,horizontal,"",FALSE,TRUE,winner,AP,FALSE,"",261723,69430,3,unknown,Polls close at 7:30 p.m. Eastern time.,Polls close in,Polls have closed.,2020-11-04T00:30:00.000Z,7:30 p.m.,559,559,100% reporting,100%,100,261665,edison,100%,100% reported,edison,republican,FALSE,2021-01-28T14:46:50Z,TRUE,37.94508,99311,R+38,McKinley +38,republican,TRUE,"","",6,0,1604455258241,FALSE
54049,Marion,24905,14460,70,70,Merged into voters' home precincts and released with cumulative results,100,24898,100%,100% reported,edison,10,unknown,7667,16161,8737,7,8525,5935,0,2021-01-28T14:45:59Z,29.80928,R+30,McKinley +30,republican,mckinleyd,WV-G-H-1-2020-11-03,wv-house-general-district-001-2020-11-03,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-west-virginia-house-district-1.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-west-virginia.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/ap-polls-west-virginia.html,house,general,2020-11-03,FALSE,U.S. House District 1,U.S. House,H,solid-rep,1,District 1,WV,west-virginia,West Virginia,W.Va.,horizontal,"",FALSE,TRUE,winner,AP,FALSE,"",261723,69430,3,unknown,Polls close at 7:30 p.m. Eastern time.,Polls close in,Polls have closed.,2020-11-04T00:30:00.000Z,7:30 p.m.,559,559,100% reporting,100%,100,261665,edison,100%,100% reported,edison,republican,FALSE,2021-01-28T14:46:50Z,TRUE,37.94508,99311,R+38,McKinley +38,republican,TRUE,"","",6,0,1604455258241,FALSE
54051,Marshall,13695,0,37,37,None,100,13695,100%,100% reported,edison,10,unknown,4835,10098,3597,,0,0,,2021-01-28T14:23:12Z,47.46988,R+47,McKinley +47,republican,mckinleyd,WV-G-H-1-2020-11-03,wv-house-general-district-001-2020-11-03,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-west-virginia-house-district-1.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-west-virginia.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/ap-polls-west-virginia.html,house,general,2020-11-03,FALSE,U.S. House District 1,U.S. House,H,solid-rep,1,District 1,WV,west-virginia,West Virginia,W.Va.,horizontal,"",FALSE,TRUE,winner,AP,FALSE,"",261723,69430,3,unknown,Polls close at 7:30 p.m. Eastern time.,Polls close in,Polls have closed.,2020-11-04T00:30:00.000Z,7:30 p.m.,559,559,100% reporting,100%,100,261665,edison,100%,100% reported,edison,republican,FALSE,2021-01-28T14:46:50Z,TRUE,37.94508,99311,R+38,McKinley +38,republican,TRUE,"","",6,0,1604455258241,FALSE
54057,Mineral,12486,0,26,26,None,100,12485,100%,100% reported,edison,10,unknown,3014,9876,2609,1,0,0,0,2021-01-28T14:46:13Z,58.20119,R+58,McKinley +58,republican,mckinleyd,WV-G-H-1-2020-11-03,wv-house-general-district-001-2020-11-03,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-west-virginia-house-district-1.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-west-virginia.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/ap-polls-west-virginia.html,house,general,2020-11-03,FALSE,U.S. House District 1,U.S. House,H,solid-rep,1,District 1,WV,west-virginia,West Virginia,W.Va.,horizontal,"",FALSE,TRUE,winner,AP,FALSE,"",261723,69430,3,unknown,Polls close at 7:30 p.m. Eastern time.,Polls close in,Polls have closed.,2020-11-04T00:30:00.000Z,7:30 p.m.,559,559,100% reporting,100%,100,261665,edison,100%,100% reported,edison,republican,FALSE,2021-01-28T14:46:50Z,TRUE,37.94508,99311,R+38,McKinley +38,republican,TRUE,"","",6,0,1604455258241,FALSE
