fips,name,votes,absentee_votes,reporting,precincts,absentee_method,eevp,tot_exp_vote,eevp_value,eevp_display,eevp_source,turnout_stage,absentee_count_progress,absentee_outstanding,absentee_max_ballots,provisional_outstanding,provisional_count_progress,results_bidenj,results_trumpd,results_jorgensenj,results_hawkinsh,results_write_ins,results_de_la_fuenter,results_absentee_bidenj,results_absentee_trumpd,results_absentee_jorgensenj,results_absentee_hawkinsh,results_absentee_write_ins,results_absentee_de_la_fuenter,last_updated,leader_margin_value,leader_margin_display,leader_margin_name_display,leader_party_id,margin2020,votes2016,margin2016,votes2012,margin2012,state,retrieved_time
23001,Androscoggin,58770,17255,23,24,,,,,"",edison,,,,,,,27568,29259,1076,593,169,105,10839,5901,254,202,32,27,2020-11-24T13:26:15Z,2.87732,R+3,Trump +3,republican,2.87732,55601,9.4,52862,-12.78,maine,2020-11-24T16:31:50.070895Z
23003,Aroostook,35015,0,50,67,,,,,"",edison,,,,,,,13758,20495,387,237,83,55,0,0,0,0,0,0,2020-11-24T13:26:10Z,19.24033,R+19,Trump +19,republican,19.24033,35097,17.2,33860,-7.62,maine,2020-11-24T16:31:50.070895Z
23005,Cumberland,193945,22650,48,49,,,,,"",edison,,,,,,,128563,59491,2953,2217,389,332,16907,5115,257,245,103,23,2020-11-24T13:26:10Z,35.61422,D+36,Biden +36,democrat,-35.61422,171818,-26.3,163786,-26.94,maine,2020-11-24T16:31:50.070895Z
23007,Franklin,16664,0,19,22,,,,,"",edison,,,,,,,7716,8310,343,172,95,28,0,0,0,0,0,0,2020-11-24T15:46:53Z,3.56457,R+4,Trump +4,republican,3.56457,16488,5.5,16282,-18.41,maine,2020-11-24T16:31:50.070895Z
23009,Hancock,33446,3337,34,42,,,,,"",edison,,,,,,,18541,13925,516,363,61,40,1866,1333,72,39,20,7,2020-11-24T13:26:10Z,13.80135,D+14,Biden +14,democrat,-13.80135,32130,-7.5,30799,-17.03,maine,2020-11-24T16:31:50.070895Z
23011,Kennebec,70745,821,31,32,,,,,"",edison,,,,,,,34297,34151,1387,724,96,90,414,380,14,8,5,0,2020-11-24T13:26:18Z,0.20638,D+0.21,Biden +0.21,democrat,-0.20638,66208,3.6,63497,-13.46,maine,2020-11-24T16:31:50.070895Z
23013,Knox,25303,0,15,18,,,,,"",edison,,,,,,,14798,9870,347,243,11,34,0,0,0,0,0,0,2020-11-24T13:26:11Z,19.47595,D+19,Biden +19,democrat,-19.47595,23147,-14.2,22067,-22.54,maine,2020-11-24T16:31:50.070895Z
23015,Lincoln,23594,1828,19,19,,,,,"",edison,,,,,,,12684,10256,405,193,22,34,1307,479,19,16,2,5,2020-11-24T13:26:12Z,10.29075,D+10,Biden +10,democrat,-10.29075,21503,-2.4,20757,-11.64,maine,2020-11-24T16:31:50.070895Z
23017,Oxford,31976,0,28,37,,,,,"",edison,,,,,,,14058,16918,591,323,41,45,0,0,0,0,0,0,2020-11-24T13:26:13Z,8.94421,R+9,Trump +9,republican,8.94421,31201,12.9,29420,-14.73,maine,2020-11-24T16:31:50.070895Z
23019,Penobscot,81291,4223,47,61,,,,,"",edison,,,,,,,36663,41817,1779,722,184,126,3040,980,99,62,35,7,2020-11-24T13:26:09Z,6.34019,R+6,Trump +6,republican,6.34019,80540,10.9,77306,-2.93,maine,2020-11-24T16:31:50.070895Z
23021,Piscataquis,9460,0,15,20,,,,,"",edison,,,,,,,3373,5839,166,59,11,12,0,0,0,0,0,0,2020-11-24T13:26:15Z,26.06765,R+26,Trump +26,republican,26.06765,9182,25.1,8955,4.25,maine,2020-11-24T16:31:50.070895Z
23023,Sagadahoc,24042,0,10,10,,,,,"",edison,,,,,,,13531,9755,474,248,2,32,0,0,0,0,0,0,2020-11-24T13:26:45Z,15.70585,D+16,Biden +16,democrat,-15.70585,21616,-6.3,20794,-16.31,maine,2020-11-24T16:31:50.070895Z
23025,Somerset,23915,1524,24,34,,,,,"",edison,,,,,,,9088,14175,402,191,32,27,917,563,16,15,6,7,2020-11-24T13:26:10Z,21.27117,R+21,Trump +21,republican,21.27117,26064,22.7,24787,-1.68,maine,2020-11-24T16:31:50.070895Z
23027,Waldo,24498,0,27,28,,,,,"",edison,,,,,,,12389,11279,412,353,33,32,0,0,0,0,0,0,2020-11-24T13:26:44Z,4.53098,D+5,Biden +5,democrat,-4.53098,22707,-0.3,21061,-10.63,maine,2020-11-24T16:31:50.070895Z
23029,Washington,14158,0,31,46,,,,,"",edison,,,,,,,5284,8526,204,114,11,19,0,0,0,0,0,0,2020-11-24T16:13:36Z,22.89871,R+23,Trump +23,republican,22.89871,16365,18.4,15836,-1.6,maine,2020-11-24T16:31:50.070895Z
23031,York,130346,8476,43,43,,,,,"",edison,,,,,,,72363,54099,2138,1232,319,195,5506,2696,113,85,54,22,2020-11-24T13:26:10Z,14.01194,D+14,Biden +14,democrat,-14.01194,114274,-4.8,108057,-16.33,maine,2020-11-24T16:31:50.070895Z
